range,r2c_Dt,c2r_Dt,r2p_Dt,p2r_Dt,c2p_Dt,p2c_Dt,c2p_Tt,p2c_Tt,r2c_Tt,c2r_Tt,r2p_Tt,p2r_Tt,multi_t,ring_t,r2c_Dc,c2r_Dc,r2p_Dc,p2r_Dc,c2p_Dc,p2c_Dc,r2c_Tc,c2r_Tc,r2p_Tc,p2r_Tc,c2p_Tc,p2c_Tc,multi_c,ring_c,rp_Dm,rp_Tm,rc_Dm,rc_Tm,pc_Dm,pc_Tm,multi_m,ring_m
1024,16.088648909702897,16.08279906772077,11.284488285519183,11.282135963067413,11.281251817569137,11.282674262858928,0.2773470559120178,0.2273457350730896,0.12734574604034424,0.17734713196754456,0.1,0.1,0.23560274756921823,0.034831557562574736,159.84375,159.84375,111.890625,111.890625,111.890625,111.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.2269385655721026,0.32942708333333326,0.0027977157168810572,1.5149258083767361e-05,0.003991705746054649,2.8132934007644655e-05,0.002797511855286857,4.328218551635743e-05,5.734963989543026e-05,8.480496725688376e-06
2048,32.17550668027252,32.17032122518867,22.57248462866992,22.573468340002,22.572747714258732,22.572436968237163,0.2773470289707184,0.22734572887420657,0.1273457090854645,0.17734702920913697,0.1,0.1,0.2454300413379561,0.0382781593206649,319.84375,319.84375,223.890625,223.890625,223.890625,223.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.321995417277018,0.36197916666666663,0.005597459442398615,1.5149258083767361e-05,0.00798515889617304,2.813292345152961e-05,0.005597401394109759,4.328218301243252e-05,5.976294274347036e-05,9.319207985712974e-06
4096,64.36002331785858,64.35522560030222,45.15871176403016,45.16248739231378,45.157132864929736,45.161518695764244,0.27734715199470517,0.22734579420089723,0.12734578704833985,0.17734713006019592,0.1,0.1,0.2558083480013124,0.041746799275279044,639.84375,639.84375,447.890625,447.890625,447.890625,447.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.4170522689819336,0.39453125,0.011198200265467168,1.5149258083767361e-05,0.01597362626157701,2.8132936961915756e-05,0.011198007780462503,4.3282197243372605e-05,6.22595097622528e-05,1.0161249462101194e-05
8192,128.7286460129544,128.73273486923426,90.34260209575295,90.33470663633197,90.33524062875658,90.32244769595563,0.27734700512886046,0.22734571290016176,0.12734571385383606,0.177347042798996,0.1,0.1,0.26558095803315873,0.045165185451818,1279.84375,1279.84375,895.890625,895.890625,895.890625,895.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.5121091206868487,0.42708333333333326,0.022400106322300932,1.5149258083767361e-05,0.03195111178774801,2.8132924838595922e-05,0.02239862389152166,4.328218000411987e-05,6.466454929005149e-05,1.0995697034246944e-05
16384,257.47944670636207,257.4578263219446,180.66123216189445,180.68018242120743,180.67050893940032,180.66846438646317,0.2773470389842987,0.22734581589698794,0.12734571886062623,0.17734710216522218,0.1,0.1,0.2758032074805972,0.04860400593218704,2559.84375,2559.84375,1791.890625,1791.890625,1791.890625,1791.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.607165972391764,0.45963541666666663,0.04480028320882221,1.5149258083767361e-05,0.06390484586101025,2.8132929702334935e-05,0.044800098758275314,4.328219034406874e-05,6.713753432953968e-05,1.1833232456749237e-05
32768,514.9622199116275,514.961060279049,361.4010860560462,361.35857636705043,361.40541941989216,361.33977811262014,0.2773470449447632,0.2273457441329956,0.1273457832336426,0.1773470423221588,0.1,0.1,0.2857308563486697,0.05205292361788451,5119.84375,5119.84375,3583.890625,3583.890625,3583.890625,3583.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.7022228240966797,0.49218749999999994,0.08960743971228849,1.5149258083767361e-05,0.12781489973550042,2.813293004459805e-05,0.08960634680944433,4.328218537224664e-05,6.95660019481459e-05,1.2672293679167825e-05
65536,1029.9472967069596,1029.8448812775314,722.7287301672623,722.7197581361979,722.7174388356507,722.707917496562,0.27734704089164736,0.22734572696685793,0.1273457419872284,0.1773471360206604,0.1,0.1,0.2958987928994664,0.055469641291225946,10239.84375,10239.84375,7167.890625,7167.890625,7167.890625,7167.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.7972796758015948,0.5247395833333333,0.17921059544547152,1.5149258083767361e-05,0.2556272164576997,2.8132934007644655e-05,0.17920884769653284,4.328218376901415e-05,7.203077970547488e-05,1.3506489121941504e-05
131072,2059.880524473265,2059.8058180119842,1445.48057333678,1445.528790742345,1445.4797188511118,1445.4018385859206,0.2773470139503479,0.2273462860584259,0.12734574580192567,0.1773470869064331,0.1,0.1,0.3056578475049207,0.058951461633356905,20479.84375,20479.84375,14335.890625,14335.890625,14335.890625,14335.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.8923365275065103,0.5572916666666666,0.3584307505040773,1.5149258083767361e-05,0.5112636644422015,2.8132930585013498e-05,0.3584210940022303,4.328222397592333e-05,7.443377085772989e-05,1.4350522301332267e-05
262144,4119.667390124872,4119.757477671839,2890.760505784862,2890.991950214468,2890.870124507323,2890.4941493790598,0.2773470311164856,0.22734571099281312,0.12734574604034424,0.17734702515602113,0.1,0.1,0.31574561514130434,0.062372657144442185,40959.84375,40959.84375,28671.890625,28671.890625,28671.890625,28671.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.987393379211426,0.5898437499999999,0.7168424507824929,1.5149258083767361e-05,1.0225327974657343,2.8132925937440665e-05,0.7168131214672924,4.328218182351854e-05,7.688643420132535e-05,1.5185394395142792e-05
524288,8240.003814660013,8239.289460553788,5781.576960777305,5781.693171493151,5781.679987924546,5781.828913421743,0.27734700989723204,0.22734575390815737,0.12734574508666993,0.17734703993797302,0.1,0.1,0.32649856422513795,0.0658220251246045,81919.84375,81919.84375,57343.890625,57343.890625,57343.890625,57343.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,3.082450230916341,0.6223958333333333,1.4336682307674224,1.5149258083767361e-05,2.045100632692803,2.8132926982243855e-05,1.4336862710975966,4.3282183462778725e-05,7.943961385253546e-05,1.602452366205829e-05
1048576,16479.19912794605,16478.093660250306,11563.509675292298,11565.814360594377,11563.69229230564,11562.365145133808,0.27734701800346373,0.22734572124481203,0.12734577178955078,0.17734700608253479,0.1,0.1,0.336147055756021,0.06927160117775201,163839.84375,163839.84375,114687.890625,114687.890625,114687.890625,114687.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,3.1775070826212564,0.6549479166666665,2.867547859040648,1.5149258083767361e-05,4.090105040340374,2.8132926441828412e-05,2.867301049380191,4.328218160735236e-05,8.182589769574415e-05,1.6863684371113773e-05
2097152,32959.22647130862,32956.826081828214,23125.825300866923,23127.89756550379,23126.194441315904,23124.481551507673,0.2773470270633698,0.2273458058834076,0.1273457591533661,0.17734707617759704,0.1,0.1,0.3461789175833701,0.07273270576260984,327679.84375,327679.84375,229375.890625,229375.890625,229375.890625,229375.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,3.272563934326172,0.6875,5.734724659566108,1.5149258083767361e-05,8.180322444802544,2.8132930783165824e-05,5.734494451342547,4.32821886867947e-05,8.427011305041884e-05,1.770458716940549e-05
4194304,65916.21084684692,65912.80069140997,46252.138191378304,46249.02491087057,46250.153816851416,46257.34522138685,0.27734705710411073,0.2273457601070404,0.12734577488899232,0.17734708786010744,0.1,0.1,0.3563052343005097,0.07618737164884805,655359.84375,655359.84375,458751.890625,458751.890625,458751.890625,458751.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,3.367620786031087,0.7200520833333333,11.468975699610237,1.5149258083767361e-05,16.360412679233836,2.8132932854758373e-05,11.46945441477388,4.328218749788072e-05,8.672860158843964e-05,1.8544517008794677e-05
8388608,131826.2108475892,131829.25772222597,92504.15459764414,92511.6233467538,92504.73272257522,92496.25616108571,0.2773470060825348,0.22734574794769288,0.12734569716453553,0.1773469958305359,0.1,0.1,0.36634596636857847,0.07957231721375137,1310719.84375,1310719.84375,917503.890625,917503.890625,917503.890625,917503.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,3.4626776377360025,0.7526041666666665,22.938968821017056,1.5149258083767361e-05,32.720633877173796,2.813292002889845e-05,22.937851425316925,4.328218272421096e-05,8.917415733504528e-05,1.9373911332959928e-05
16777216,263673.26553384773,263656.5624098433,185024.3514716886,185001.36709805857,185013.070222361,185000.8514730893,0.27734706974029544,0.22734571409225465,0.1273457419872284,0.1773470220565796,0.1,0.1,0.3761268918244127,0.08298542411066592,2621439.84375,2621439.84375,1835007.890625,1835007.890625,1835007.890625,1835007.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,3.557734489440918,0.78515625,45.87749766826566,1.5149258083767361e-05,65.4426965854222,2.813292539702521e-05,45.87660634887435,4.328218497594198e-05,9.158045341580218e-05,2.020756114729577e-05
