range,r2c_Dt,c2r_Dt,r2p_Dt,p2r_Dt,c2p_Dt,p2c_Dt,c2p_Tt,p2c_Tt,r2c_Tt,c2r_Tt,r2p_Tt,p2r_Tt,multi_t,ring_t,r2c_Dc,c2r_Dc,r2p_Dc,p2r_Dc,c2p_Dc,p2c_Dc,r2c_Tc,c2r_Tc,r2p_Tc,p2r_Tc,c2p_Tc,p2c_Tc,multi_c,ring_c,rp_Dm,rp_Tm,rc_Dm,rc_Tm,pc_Dm,pc_Tm,multi_m,ring_m
1024,16.07875848468393,16.07235795725137,11.27659766804427,11.276608148217202,11.278042979165912,11.277176935784519,0.27734699511528016,0.2273456280231476,0.12734561681747436,0.17734700298309325,0.1,0.1,0.23503810174474513,0.03473764369264244,159.84375,159.84375,111.890625,111.890625,111.890625,111.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.2269385655721026,0.32942708333333326,0.0027967018797720473,1.5149258083767361e-05,0.003990169585595529,2.8132914498647054e-05,0.0027968540561174354,4.3282172834608296e-05,5.726431563750989e-05,8.466305296454163e-06
2048,32.20395233295858,32.15865776408464,22.56463209576905,22.563867622427644,22.568423959799112,22.568502122908832,0.27734701681137086,0.22734565711021423,0.12734560799598693,0.17734698295593262,0.1,0.1,0.2493820082448811,0.03819506571162491,319.84375,319.84375,223.890625,223.890625,223.890625,223.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.321995417277018,0.36197916666666663,0.005596140752362709,1.5149258083767361e-05,0.00798642688398146,2.8132912318971424e-05,0.00559677741101467,4.3282176671557954e-05,6.036012885385014e-05,9.306651618124708e-06
4096,64.37942775897682,64.3349897582084,45.144093599170446,45.140142537653446,45.14633609354496,45.143517720513046,0.2773469679355621,0.22734559512138366,0.1273456220626831,0.17734695291519165,0.1,0.1,0.2549609916549002,0.04160653301514685,639.84375,639.84375,447.890625,447.890625,447.890625,447.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.4170522689819336,0.39453125,0.01119540750399232,1.5149258083767361e-05,0.01597356344461441,2.813291111204359e-05,0.011195831950716675,4.328216829511854e-05,6.21314648032394e-05,1.014005367168122e-05
8192,128.78714869730175,128.6810596594587,90.28370273131877,90.28754747677594,90.3004395795986,90.29751787818968,0.2773469982147217,0.22734563684463502,0.12734561228752136,0.17734698677062988,0.1,0.1,0.2648667945811231,0.045044241806802644,1279.84375,1279.84375,895.890625,895.890625,895.890625,895.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.5121091206868487,0.42708333333333326,0.02239209301159945,1.5149258083767361e-05,0.03195162764138232,2.8132912931442263e-05,0.022394110892687405,4.3282173735300706e-05,6.455663125729944e-05,1.0977421105666844e-05
16384,257.4241674877703,257.38123187609017,180.5860414389521,180.59595904648305,180.58918455764652,180.60926389843226,0.27734698796272284,0.2273456029891968,0.12734560918807983,0.17734696197509767,0.1,0.1,0.27484656184708456,0.04847666386825343,2559.84375,2559.84375,1791.890625,1791.890625,1791.890625,1791.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.607165972391764,0.45963541666666663,0.04478823858810962,1.5149258083767361e-05,0.06389488207302987,2.8132910823822022e-05,0.04478948132366936,4.328217040273879e-05,6.699297454492e-05,1.1813989655977047e-05
32768,514.8837616126984,514.7882750248536,361.18756107836964,361.20050013661387,361.1898803435266,361.2186270248145,0.277346951007843,0.22734563636779787,0.12734560084342958,0.17734698987007141,0.1,0.1,0.28501316740761806,0.05190405321773141,5119.84375,5119.84375,3583.890625,3583.890625,3583.890625,3583.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.7022228240966797,0.49218749999999994,0.08957936317656438,1.5149258083767361e-05,0.12779591688926437,2.813291230095757e-05,0.0895809079970403,4.3282170132531066e-05,6.945755117483143e-05,1.2649797707589134e-05
65536,1029.667759956792,1029.603002644144,722.3974363943562,722.3974363943562,722.400976379402,722.5787080423906,0.27734699416160585,0.22734559106826782,0.12734562802314758,0.17734703612327576,0.1,0.1,0.29495593433558726,0.05536536451739569,10239.84375,10239.84375,7167.890625,7167.890625,7167.890625,7167.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.7972796758015948,0.5247395833333333,0.17916121116213501,1.5149258083767361e-05,0.25558782062872004,2.8132917849222825e-05,0.17917517470774552,4.328216997040643e-05,7.188830330026648e-05,1.3490731742784932e-05
131072,2059.557406821288,2059.2473505930975,1444.8273800780996,1445.0679788284003,1444.8044310344383,1444.752673616819,0.2773469920158387,0.22734565019607544,0.12734561109542847,0.17734693098068238,0.1,0.1,0.3051811554558583,0.05880537305492907,20479.84375,20479.84375,14335.890625,14335.890625,14335.890625,14335.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.8923365275065103,0.5572916666666666,0.35834658122436785,1.5149258083767361e-05,0.5111970557924029,2.8132908626132543e-05,0.35832102423619394,4.3282174275716156e-05,7.436173739253824e-05,1.4328446693925392e-05
262144,4118.610753530636,4118.294104347937,2890.1469827346505,2889.7448846591637,2889.529797589034,2889.611340246722,0.277347002029419,0.22734561967849734,0.12734560799598693,0.17734694576263427,0.1,0.1,0.3150870210457356,0.062256215978413805,40959.84375,40959.84375,28671.890625,28671.890625,28671.890625,28671.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,2.987393379211426,0.5898437499999999,0.7167018729767427,1.5149258083767361e-05,1.0223423967163638,2.8132909508811103e-05,0.7166451511879117,4.3282172726525204e-05,7.678691331577273e-05,1.5167798841165169e-05
524288,8237.46866324544,8236.66348899994,5779.274719074741,5779.479796808586,5779.371886858158,5780.034971530922,0.27734701800346373,0.22734561824798585,0.12734563493728637,0.17734699082374572,0.1,0.1,0.32512555819655137,0.06568639533749471,81919.84375,81919.84375,57343.890625,57343.890625,57343.890625,57343.890625,0.2734375,0.7734375,0.00390625,0.00390625,0.77734375,0.27734375,3.082450230916341,0.6223958333333333,1.433327050862617,1.5149258083767361e-05,2.0447106811796334,2.813291494899326e-05,1.4333763389630518,4.3282173825369934e-05,7.92321373859935e-05,1.6004028494228368e-05
